																												Abundances of TMT tag in MS3 (Normalized)							
High	P63092	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short OS=Homo sapiens OX=9606 GN=GNAS PE=1 SV=1	0	31.64	23	9	15	1	394	45.6	5.82	42.9	9	metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;membrane	catalytic activity;metal ion binding;nucleotide binding;protein binding;signal transducer activity	"Pf00025, Pf00503, Pf08477"	2778	ENSG00000087460.24	20	Human Thyroid Stimulating Hormone (TSH) signaling pathway; Endothelin Pathways; Corticotropin-releasing hormone signaling pathway; Common Pathways Underlying Drug Addiction; Myometrial Relaxation and Contraction Pathways; G Protein Signaling Pathways; Calcium Regulation in the Cardiac Cell; Estrogen signaling pathway; Serotonin Receptor 4/6/7 and NR3C Signaling	GNAS	Serotonergic synapse; Rap1 signaling pathway; Pancreatic secretion; Endocrine resistance; Amphetamine addiction; Adrenergic signaling in cardiomyocytes; Inflammatory mediator regulation of TRP channels; Ovarian steroidogenesis; Pathways in cancer; Vasopressin-regulated water reabsorption; Regulation of lipolysis in adipocytes; Amoebiasis; Circadian entrainment; Long-term depression; GnRH signaling pathway; Dopaminergic synapse; Renin secretion; Thyroid hormone synthesis; Vibrio cholerae infection; Bile secretion; Gap junction; Gastric acid secretion; Platelet activation; Glutamatergic synapse; Morphine addiction; Aldosterone synthesis and secretion; Estrogen signaling pathway; Oxytocin signaling pathway; Phospholipase D signaling pathway; Dilated cardiomyopathy; Calcium signaling pathway; Vascular smooth muscle contraction; cAMP signaling pathway; Chagas disease (American trypanosomiasis); Alcoholism; Salivary secretion; Cocaine addiction; Melanogenesis; Glucagon signaling pathway; Insulin secretion; Endocrine and other factor-regulated calcium reabsorption	G alpha (z) signalling events; Prostacyclin signalling through prostacyclin receptor; PKA activation in glucagon signalling; G alpha (s) signalling events; Glucagon-type ligand receptors; G alpha (i) signalling events; Glucagon-like Peptide-1 (GLP1) regulates insulin secretion; Hedgehog 'off' state; Vasopressin regulates renal water homeostasis via Aquaporins	73	7		200	95	86.8	116.9	978.3	662.2	1	Met-loss [N-Term]
High	A0A140T9H5	"HLA class I histocompatibility antigen, C alpha chain OS=Homo sapiens OX=9606 GN=HLA-C PE=1 SV=1"	0	31.627	23	6	9	1	372	41.3	6	33.38	6	response to stimulus	membrane		"Pf00129, Pf07654"		ENSG00000233841.11	CHR_HSCHR6_MHC_COX_CTG1					0	5		1287.6	480.9	540.7	381.5	312.9	581.2	1	
High	Q9Y4C1	Lysine-specific demethylase 3A OS=Homo sapiens OX=9606 GN=KDM3A PE=1 SV=4	0	31.577	8	9	12	9	1321	147.2	8.07	32.77	9	cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	chromosome;cytoplasm;membrane;nucleus	catalytic activity;DNA binding;metal ion binding;protein binding	Pf02373	55818	ENSG00000115548.16	2		KDM3A		HDMs demethylate histones	3	0		230.2	242.7	243.9	279.7	296	362.6	1	Met-loss [N-Term]
High	Q9NYL9	Tropomodulin-3 OS=Homo sapiens OX=9606 GN=TMOD3 PE=1 SV=1	0	31.571	24	6	12	6	352	39.6	5.19	44.38	6	cell organization and biogenesis;regulation of biological process	cytoplasm;cytoskeleton	protein binding	Pf03250	29766	ENSG00000138594.13	15		TMOD3		Striated Muscle Contraction	2	0		626.3	320	346.8	369.3	434.3	781.9	1	
High	O75081	Protein CBFA2T3 OS=Homo sapiens OX=9606 GN=CBFA2T3 PE=1 SV=2	0	31.558	18	11	17	11	653	71.1	8.18	43.93	11	cell differentiation;cell proliferation;metabolic process;regulation of biological process;response to stimulus	Golgi;membrane;nucleus	metal ion binding;protein binding	"Pf01753, Pf07531, Pf08788"	863	ENSG00000129993.14	16		CBFA2T3			0	0		1232.2	1297.9	1261.2	1265.4	336.8	245.4	1	
High	Q99497	Protein/nucleic acid deglycase DJ-1 OS=Homo sapiens OX=9606 GN=PARK7 PE=1 SV=2	0	31.532	42	7	19	7	189	19.9	6.79	67.73	7	cell communication;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus;transport	chromosome;cytoplasm;cytosol;endoplasmic reticulum;membrane;mitochondrion;nucleus;organelle lumen	antioxidant activity;catalytic activity;DNA binding;enzyme regulator activity;metal ion binding;protein binding;RNA binding	"Pf01965, Pf13278"	11315	ENSG00000116288.12	1	Androgen receptor signaling pathway; Synaptic Vesicle Pathway; Parkinsons Disease Pathway	PARK7	Parkinson's disease		4	0		416.8	2069.2	2345	1880.5	1805.3	846.7	1	
High	Q14331	Protein FRG1 OS=Homo sapiens OX=9606 GN=FRG1 PE=1 SV=1	0	31.506	33	8	14	8	258	29.2	9.01	39.33	8	metabolic process	cytoplasm;nucleus;spliceosomal complex	protein binding;RNA binding	"Pf06229, Pf06268"	2483	ENSG00000283153.1; ENSG00000283630.1; ENSG00000109536.11; ENSG00000275145.3	4; CHR_HG2023_PATCH; CHR_HSCHR4_11_CTG12; CHR_HSCHR4_6_CTG12		FRG1			0	0		767.5	600.5	763.7	940.7	697	823.6	1	
High	Q96EV2	RNA-binding protein 33 OS=Homo sapiens OX=9606 GN=RBM33 PE=1 SV=3	0	31.501	12	9	12	9	1170	129.9	6.93	37.49	9			RNA binding	Pf14259	155435	ENSG00000184863.10	7		RBM33			0	0		268.5	532.5	516.6	507.7	371.7	293.7	1	
High	Q9NVH1	DnaJ homolog subfamily C member 11 OS=Homo sapiens OX=9606 GN=DNAJC11 PE=1 SV=2	0	31.499	14	7	17	7	559	63.2	8.4	48.86	7	cell organization and biogenesis	membrane;mitochondrion	protein binding	"Pf00226, Pf11875"	55735	ENSG00000007923.15	1		DNAJC11		Cristae formation	3	0		1168.8	402.4	372.9	359.7	661.9	1282.2	1	
High	P37108	Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=2	0	31.494	63	8	18	8	136	14.6	10.04	49.92	8	cell organization and biogenesis;response to stimulus;transport	cytoplasm;cytosol;extracellular;nucleus;organelle lumen	protein binding;RNA binding	Pf02290	6727	ENSG00000140319.10	15		SRP14	Protein export	Neutrophil degranulation; SRP-dependent cotranslational protein targeting to membrane	7	0		1229.1	1055.8	1152.8	1165.7	1181.9	1117.8	1	Met-loss [N-Term]
High	A0A087WUV8	Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1	0	31.491	53	8	23	8	189	20.5	6.68	70.69	8		membrane	protein binding	"Pf00047, Pf07679, Pf07686, Pf13895, Pf13927"		ENSG00000172270.18	19					0	0		945.4	2522.3	2541.4	2602.8	3716.1	10528.7	1	
High	Q9BXY0	Protein MAK16 homolog OS=Homo sapiens OX=9606 GN=MAK16 PE=1 SV=2	0	31.478	28	6	15	6	300	35.3	5.38	44.49	6	metabolic process	nucleus	RNA binding	"Pf01778, Pf04874"	84549	ENSG00000198042.10	8		MAK16			0	0		980.4	1132.3	1145.2	1086.4	633.9	561.8	1	
High	G3V180	Dipeptidyl peptidase 3 OS=Homo sapiens OX=9606 GN=DPP3 PE=1 SV=1	0	31.466	17	10	13	10	757	84.3	5.03	38.54	10	metabolic process	cytoplasm;cytosol;membrane	catalytic activity;metal ion binding;protein binding	Pf03571	10072	ENSG00000254986.7	11		DPP3			0	0		170.8	521	571.4	506.6	451	249.1	1	
High	Q9P0U4	CXXC-type zinc finger protein 1 OS=Homo sapiens OX=9606 GN=CXXC1 PE=1 SV=2	0	31.46	18	9	17	9	656	75.7	8.24	45.11	9	cell organization and biogenesis;metabolic process;regulation of biological process	cytosol;nucleus	catalytic activity;DNA binding;metal ion binding;protein binding	"Pf00628, Pf02008, Pf12269"	30827	ENSG00000154832.14	18		CXXC1		XBP1(S) activates chaperone genes	4	0		409.8	517.7	527.3	506.6	335.6	297	1	
High	E9PC15	"Acylglycerol kinase, mitochondrial OS=Homo sapiens OX=9606 GN=AGK PE=1 SV=1"	0	31.458	28	8	13	8	394	43.8	6.34	41.35	8	metabolic process	mitochondrion	catalytic activity	Pf00781		ENSG00000006530.15	7					0	0		1151.5	421.1	424.1	323.4	956.5	958.9	1	
High	H7C4T5	Muscleblind-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=MBNL1 PE=1 SV=1	0	31.434	32	7	19	5	329	35.8	8.66	50.18	7		cytosol;nucleus	metal ion binding			ENSG00000152601.17	3					0	2		1359.7	1850.1	1810.5	1862.5	1545.9	1469.6	1	
High	O15020	"Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2 PE=1 SV=3"	0	31.422	3	8	20	1	2390	271.2	6.11	60.82	8	cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;membrane	protein binding;structural molecule activity	"Pf00169, Pf00307, Pf00435, Pf11971, Pf12128, Pf15410"	6712	ENSG00000173898.11	11		SPTBN2		Interaction between L1 and Ankyrins; COPI-mediated anterograde transport; MHC class II antigen presentation; RAF/MAP kinase cascade; NCAM signaling for neurite out-growth; Interleukin-20 family signaling	23	0								1	
High	P08754	Guanine nucleotide-binding protein G(i) subunit alpha OS=Homo sapiens OX=9606 GN=GNAI3 PE=1 SV=3	0	31.416	30	8	11	4	354	40.5	5.69	35.89	8	cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;Golgi;membrane;nucleus	catalytic activity;metal ion binding;nucleotide binding;protein binding;signal transducer activity	"Pf00025, Pf00503"	2773	ENSG00000065135.10	1	Human Thyroid Stimulating Hormone (TSH) signaling pathway; Signal Transduction of S1P Receptor; G Protein Signaling Pathways; Chemokine signaling pathway; Calcium Regulation in the Cardiac Cell	GNAI3	Tight junction; Long-term depression; Adrenergic signaling in cardiomyocytes; Estrogen signaling pathway; Circadian entrainment; Alcoholism; cGMP-PKG signaling pathway; Leukocyte transendothelial migration; Chagas disease (American trypanosomiasis); Melanogenesis; Platelet activation; Pathways in cancer; Axon guidance; Progesterone-mediated oocyte maturation; Gastric acid secretion; Pertussis; Regulation of lipolysis in adipocytes; Renin secretion; Cocaine addiction; Gap junction; cAMP signaling pathway; Glutamatergic synapse; Retrograde endocannabinoid signaling; Morphine addiction; Chemokine signaling pathway; Serotonergic synapse; Parkinson's disease; Oxytocin signaling pathway; GABAergic synapse; Dopaminergic synapse; Toxoplasmosis; Cholinergic synapse; Rap1 signaling pathway; Sphingolipid signaling pathway	G alpha (z) signalling events; Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding; G alpha (s) signalling events; PLC beta mediated events; ADP signalling through P2Y purinoceptor 12; Adenylate cyclase inhibitory pathway; G-protein activation	65	0		101.4	70.3	64.3	65.5	217	159.4	1	
High	Q9ULR0	Pre-mRNA-splicing factor ISY1 homolog OS=Homo sapiens OX=9606 GN=ISY1 PE=1 SV=3	0	31.404	28	7	16	7	285	33	5.17	53.69	7	cell organization and biogenesis;metabolic process;response to stimulus	nucleus;spliceosomal complex	catalytic activity;protein binding;RNA binding	Pf06246	57461; 100534599	ENSG00000240682.9	3		ISY1; ISY1-RAB43	Spliceosome	Dual incision in TC-NER; Formation of TC-NER Pre-Incision Complex; mRNA Splicing - Major Pathway; Gap-filling DNA repair synthesis and ligation in TC-NER	11	0		1377.4	1781.4	1463.1	1216.5	642.9	1020.2	1	
High	E9PLT1	Platelet glycoprotein 4 OS=Homo sapiens OX=9606 GN=CD36 PE=1 SV=1	0	31.4	29	7	16	7	396	44.7	8.05	60.85	7	cell organization and biogenesis;cellular homeostasis;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus;transport	cell surface;Golgi;membrane	protein binding;receptor activity;signal transducer activity	Pf01130	948	ENSG00000135218.17	7	Aryl Hydrocarbon Receptor; PPAR signaling pathway; Vitamin A and Carotenoid Metabolism	CD36			3	0		334	1002.6	1024.1	1003.2	1305	2728.6	1	
High	Q86WX3	Active regulator of SIRT1 OS=Homo sapiens OX=9606 GN=RPS19BP1 PE=1 SV=1	0	31.383	39	6	10	6	136	15.4	10.74	38.98	6		cytosol;nucleus;ribosome	protein binding;RNA binding		91582	ENSG00000187051.8	22		RPS19BP1		Regulation of HSF1-mediated heat shock response	4	0		523.7	829.7	717.1	705.4	371.3	284.4	1	Met-loss [N-Term]
High	Q9UMN6	Histone-lysine N-methyltransferase 2B OS=Homo sapiens OX=9606 GN=KMT2B PE=1 SV=1	0	31.371	5	10	13	9	2715	293.3	8.22	36.67	10	cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	nucleus	catalytic activity;DNA binding;metal ion binding;protein binding	"Pf00628, Pf00856, Pf02008, Pf05964, Pf05965, Pf13771, Pf13832"	9757	ENSG00000272333.5	19	Histone Modifications	KMT2B; MLL4	Lysine degradation	PKMTs methylate histone lysines; RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	10	0		249	254.8	240.1	257.8	147.5	165.7	1	
High	O95456	Proteasome assembly chaperone 1 OS=Homo sapiens OX=9606 GN=PSMG1 PE=1 SV=1	0	31.347	29	8	12	8	288	32.8	7.17	37.44	8	cell organization and biogenesis;cell proliferation	cytoplasm;cytosol;endoplasmic reticulum;Golgi;nucleus	protein binding		8624	ENSG00000183527.11	21		PSMG1			0	0		129.1	409.3	397.4	410.2	225	155.1	1	
High	H0YJ75	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform (Fragment) OS=Homo sapiens OX=9606 GN=PPP2R5C PE=1 SV=1	0	31.306	18	8	11	4	553	64	6.74	37.79	8	regulation of biological process;response to stimulus		enzyme regulator activity	Pf01603		ENSG00000078304.19	14	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway				1	4		602.2	1418.9	1432.7	1410.5	930.3	502.6	1	
High	A0A0A0MTH9	TATA-binding protein-associated factor 172 OS=Homo sapiens OX=9606 GN=BTAF1 PE=1 SV=1	0	31.297	6	8	9	8	1849	206.8	6.52	24.19	8			nucleotide binding	"Pf00176, Pf00271, Pf12054"		ENSG00000095564.13	10					0	0		223.5	379.2	250.9	218.9	362.7	149.8	1	
High	P00167	Cytochrome b5 OS=Homo sapiens OX=9606 GN=CYB5A PE=1 SV=2	0	31.296	43	4	17	4	134	15.3	4.96	70.63	4	metabolic process;response to stimulus;transport	cytoplasm;cytosol;endoplasmic reticulum;membrane;mitochondrion	catalytic activity;metal ion binding;protein binding;transporter activity	Pf00173	1528	ENSG00000166347.18	18	Oxidation by Cytochrome P450	CYB5A		Vitamin C (ascorbate) metabolism	5	0		168.1	795.7	775.4	665.9	2731.1	1947.6	1	
High	P21980	Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 GN=TGM2 PE=1 SV=2	0	31.286	11	7	9	7	687	77.3	5.22	26.85	7	cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;endoplasmic reticulum;membrane;mitochondrion	catalytic activity;metal ion binding;nucleotide binding;protein binding	"Pf00868, Pf00927, Pf01841"	7052	ENSG00000198959.11	20		TGM2	Huntington's disease		1	0		30.1	152.9	165	213.7	574.6	560.3	1	
High	O00217	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS8 PE=1 SV=1"	0	31.234	24	4	11	4	210	23.7	6.34	37.88	4	cell organization and biogenesis;metabolic process;response to stimulus;transport	membrane;mitochondrion;organelle lumen	catalytic activity;metal ion binding	"Pf00037, Pf12837, Pf12838, Pf13183, Pf13187, Pf13237, Pf13459, Pf13484, Pf13534, Pf14697"	4728	ENSG00000110717.12	11	Electron Transport Chain; Oxidative phosphorylation	NDUFS8	Alzheimer's disease; Metabolic pathways; Huntington's disease; Oxidative phosphorylation; Parkinson's disease; Non-alcoholic fatty liver disease (NAFLD)	Complex I biogenesis	13	0		1004.4	239	246.4	191.1	460.8	722.1	1	
High	A0A0A0MSN9	Negative elongation factor E (Fragment) OS=Homo sapiens OX=9606 GN=NELFE PE=1 SV=6	0	31.232	35	8	11	8	333	38.1	9.42	37.2	8	regulation of biological process	membrane	RNA binding	"Pf00076, Pf13893, Pf14259, Pf14605"		ENSG00000204356.13; ENSG00000206268.11; ENSG00000233801.9; ENSG00000206357.11; ENSG00000231044.10; ENSG00000229363.9	6; CHR_HSCHR6_MHC_DBB_CTG1; CHR_HSCHR6_MHC_SSTO_CTG1; CHR_HSCHR6_MHC_QBL_CTG1; CHR_HSCHR6_MHC_COX_CTG1; CHR_HSCHR6_MHC_MCF_CTG1					0	0		370.2	705.7	700.5	596.2	545	473.5	1	
High	Q86U70	LIM domain-binding protein 1 OS=Homo sapiens OX=9606 GN=LDB1 PE=1 SV=2	0	31.216	21	7	12	7	411	46.5	6.96	41.18	7	cell differentiation;cell organization and biogenesis;development;metabolic process;regulation of biological process;response to stimulus	nucleus	DNA binding;protein binding	Pf01803	8861	ENSG00000198728.10	10		LDB1	Transcriptional misregulation in cancer	Regulation of expression of SLITs and ROBOs; RUNX1 regulates transcription of genes involved in differentiation of HSCs	10	0		452.4	664.9	556.1	658.2	511.3	500	1	
High	P50750	Cyclin-dependent kinase 9 OS=Homo sapiens OX=9606 GN=CDK9 PE=1 SV=3	0	31.199	31	9	12	7	372	42.8	8.79	36.56	9	cell proliferation;metabolic process;regulation of biological process;response to stimulus	chromosome;cytoplasm;membrane;nucleus	catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding	"Pf00069, Pf07714"	1025	ENSG00000136807.13	9	MicroRNAs in cardiomyocyte hypertrophy; IL-9 Signaling Pathway; Cardiac Hypertrophic Response; Initiation of transcription and translation elongation at the HIV-1 LTR	CDK9	Transcriptional misregulation in cancer	RNA polymerase II transcribes snRNA genes; Interactions of Tat with host cellular proteins; Tat-mediated HIV elongation arrest and recovery; Pausing and recovery of HIV elongation; Formation of HIV-1 elongation complex containing HIV-1 Tat; HIV elongation arrest and recovery; SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription; TP53 Regulates Transcription of DNA Repair Genes; Formation of RNA Pol II elongation complex ; RNA Polymerase II Pre-transcription Events; Formation of HIV elongation complex in the absence of HIV Tat; Pausing and recovery of Tat-mediated HIV elongation	35	0		70.9	153.2	144.7	122.3	115.2	72.8	1	
High	E9PHH9	RNA polymerase III subunit C3 OS=Homo sapiens OX=9606 GN=POLR3C PE=1 SV=1	0	31.179	29	7	10	7	411	46.2	7.77	33	7	metabolic process		catalytic activity;DNA binding	"Pf04929, Pf05645, Pf08221"		ENSG00000186141.8	1		LOC101060460			0	0		155.6	241.8	232.8	221.5	211.2	155	1	
High	P61326	Protein mago nashi homolog OS=Homo sapiens OX=9606 GN=MAGOH PE=1 SV=1	0	31.138	53	9	28	9	146	17.2	6.11	87.73	9	metabolic process;regulation of biological process;transport	cytoplasm;nucleus;spliceosomal complex	protein binding;RNA binding	Pf02792	4116	ENSG00000162385.10	1		MAGOH	mRNA surveillance pathway; RNA transport; Spliceosome	mRNA 3'-end processing; mRNA Splicing - Major Pathway; Cleavage of Growing Transcript in the Termination Region ; Regulation of expression of SLITs and ROBOs; Transport of Mature mRNA derived from an Intron-Containing Transcript; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	20	0		3221.5	3360.6	3458.9	3749.4	2143.7	1944.1	1	
High	P61088	Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens OX=9606 GN=UBE2N PE=1 SV=1	0	31.117	48	6	17	2	152	17.1	6.57	60.7	6	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;nucleus	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00179, Pf05743, Pf05773"	7334	ENSG00000177889.9	12	IL-1 signaling pathway; Interleukin-1 Induced Activation of NF-kappa-B; Simplified Depiction of MYD88 Distinct Input-Output Pathway	UBE2N	Ubiquitin mediated proteolysis	"IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation; ISG15 antiviral mechanism; Downstream TCR signaling; NOD1/2 Signaling Pathway; TICAM1, RIP1-mediated IKK complex recruitment ; Nonhomologous End-Joining (NHEJ); TAK1 activates NFkB by phosphorylation and activation of IKKs complex; Antigen processing: Ubiquitination & Proteasome degradation; Activated TLR4 signalling; Interleukin-1 family signaling; Formation of Incision Complex in GG-NER; IRAK1 recruits IKK complex; TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling; activated TAK1 mediates p38 MAPK activation; Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks; G2/M DNA damage checkpoint; IKK complex recruitment mediated by RIP1; FCERI mediated NF-kB activation; E3 ubiquitin ligases ubiquitinate target proteins; JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1; Processing of DNA double-strand break ends; CLEC7A (Dectin-1) signaling"	69	4		480.7	2395.2	2409.6	2077.5	2437.2	1255.2	1	
High	Q9Y570	Protein phosphatase methylesterase 1 OS=Homo sapiens OX=9606 GN=PPME1 PE=1 SV=3	0	31.113	22	7	13	7	386	42.3	5.97	34.78	7	metabolic process;regulation of biological process		catalytic activity;enzyme regulator activity;protein binding	"Pf00561, Pf12695, Pf12697"	51400	ENSG00000214517.9	11		PPME1		Cyclin A/B1/B2 associated events during G2/M transition	5	0		48.7	148.1	160.6	150.3	221.2	209.6	1	
High	P00492	Hypoxanthine-guanine phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=HPRT1 PE=1 SV=2	0	31.089	36	7	13	7	218	24.6	6.68	40.08	7	cell differentiation;cell organization and biogenesis;cell proliferation;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol	catalytic activity;metal ion binding;nucleotide binding;protein binding	"Pf00156, Pf15610"	3251	ENSG00000165704.14	X	Mesodermal Commitment Pathway; Nucleotide Metabolism	HPRT1	Drug metabolism - other enzymes; Metabolic pathways; Purine metabolism	Purine salvage	9	0		473.1	1246.6	1411.2	1303.6	1404	1049.4	1	
High	A0A1W2PNV4	Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1	0	31.075	20	9	18	1	684	75.8	8.59	55.07	9	cell organization and biogenesis;regulation of biological process	cytoskeleton	protein binding	Pf00400		ENSG00000284292.1	7					0	0		131.5	99.7	91.5	102.4	110.9	149.2	1	
High	P60953	Cell division control protein 42 homolog OS=Homo sapiens OX=9606 GN=CDC42 PE=1 SV=2	0	31.064	42	8	19	7	191	21.2	6.55	53.18	8	cell communication;cell differentiation;cell division;cell organization and biogenesis;cellular component movement;coagulation;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;membrane;vacuole	catalytic activity;nucleotide binding;protein binding	"Pf00025, Pf00071, Pf08477"	998	ENSG00000070831.15	1	Androgen receptor signaling pathway; Target Of Rapamycin (TOR) Signaling; Integrin-mediated Cell Adhesion; Integrated Breast Cancer Pathway; RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway; Leptin signaling pathway; Regulation of Microtubule Cytoskeleton; Metastatic brain tumor; Pathogenic Escherichia coli infection; RalA downstream regulated genes; B Cell Receptor Signaling Pathway; AGE/RAGE pathway; Brain-Derived Neurotrophic Factor (BDNF) signaling pathway; Spinal Cord Injury; Focal Adhesion; TGF-beta Signaling Pathway; MAPK Signaling Pathway; VEGFA-VEGFR2 Signaling Pathway; Chemokine signaling pathway; Oxidative Damage; p38 MAPK Signaling Pathway; EGF/EGFR Signaling Pathway; Regulation of Actin Cytoskeleton; G13 Signaling Pathway; T-Cell antigen Receptor (TCR)  Signaling Pathway; DNA Damage Response (only ATM dependent)	CDC42	MAPK signaling pathway; Non-alcoholic fatty liver disease (NAFLD); Neurotrophin signaling pathway; Adherens junction; Shigellosis; Tight junction; Focal adhesion; Epithelial cell signaling in Helicobacter pylori infection; Viral carcinogenesis; Pathways in cancer; Ras signaling pathway; VEGF signaling pathway; Leukocyte transendothelial migration; Pathogenic Escherichia coli infection; Salmonella infection; Axon guidance; Endocytosis; Renal cell carcinoma; GnRH signaling pathway; Bacterial invasion of epithelial cells; Regulation of actin cytoskeleton; Proteoglycans in cancer; AGE-RAGE signaling pathway in diabetic complications; Rap1 signaling pathway; Pancreatic cancer; T cell receptor signaling pathway; Chemokine signaling pathway; Fc gamma R-mediated phagocytosis	RHO GTPases activate PAKs; G alpha (12/13) signalling events; DCC mediated attractive signaling; Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation; RHO GTPases activate KTN1; Rho GTPase cycle; VEGFA-VEGFR2 Pathway; EGFR downregulation; RHO GTPases activate IQGAPs; Factors involved in megakaryocyte development and platelet production; CDO in myogenesis; EPHB-mediated forward signaling; Inactivation of CDC42 and RAC1; CD28 dependent Vav1 pathway; GPVI-mediated activation cascade; Sema4D induced cell migration and growth-cone collapse; RHO GTPases Activate WASPs and WAVEs; Regulation of actin dynamics for phagocytic cup formation; RHO GTPases Activate Formins; MAPK6/MAPK4 signaling; Interleukin-12 family signaling	102	0		1465.7	958.8	1004	952.3	2309.2	2088.3	1	
High	P05386	60S acidic ribosomal protein P1 OS=Homo sapiens OX=9606 GN=RPLP1 PE=1 SV=1	0	31.063	67	4	14	2	114	11.5	4.32	48.49	4	cell organization and biogenesis;metabolic process;regulation of biological process;transport	cytosol;ribosome	enzyme regulator activity;protein binding;structural molecule activity	Pf00428	6176	ENSG00000137818.11	15	Cytoplasmic Ribosomal Proteins	RPLP1	Ribosome	Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; L13a-mediated translational silencing of Ceruloplasmin expression; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Selenocysteine synthesis; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane	34	0		1901.7	870.7	716.1	498.2	496.3	1298.9	1	
High	Q9NZ63	Telomere length and silencing protein 1 homolog OS=Homo sapiens OX=9606 GN=C9orf78 PE=1 SV=1	0	31.047	28	9	15	9	289	33.7	6.74	48.66	9		cytosol	protein binding	Pf07052	51759	ENSG00000136819.15	9		C9orf78			0	0		667.7	1116.7	955.4	1013.9	543.2	1065.9	1	
High	Q9Y320	Thioredoxin-related transmembrane protein 2 OS=Homo sapiens OX=9606 GN=TMX2 PE=1 SV=1	0	31.043	28	8	15	8	296	34	8.69	50.61	8	cellular homeostasis;regulation of biological process	membrane		Pf00085	51075	ENSG00000213593.9	11		TMX2			0	0		773.9	930.5	896.7	743.9	768.8	706.1	1	
High	P48739	Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=2	0	31.021	34	9	11	9	271	31.5	6.87	30.48	9	cell organization and biogenesis;metabolic process;transport	cytoplasm;Golgi;membrane	transporter activity	Pf02121	23760	ENSG00000180957.17	22		PITPNB		PI and PC transport between ER and Golgi membranes	6	0		263.7	701.3	786	701.7	567.5	304.1	1	
