Protein FDR Confidence: Combined	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Chromosome	WikiPathways	Gene Symbol	KEGG Pathways	Reactome Pathways	# Protein Pathway Groups	# Razor Peptides		"126, Day 2"	"127N, Day 7.5"	"128N, Day 8"	"129C, Day 10"	"130N, Day 12"	"131, Day 14"	# Protein Groups	Modifications
High	Q14498	RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39 PE=1 SV=2	0	96.532	47	19	73	4	530	59.3	10.1	217.56	19	metabolic process;regulation of biological process	cytoskeleton;nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259, Pf15519"	9584	ENSG00000131051.22	20	mRNA Processing	RBM39			1	17	NA	3115.6	4720.9	4949.3	5293.6	3602.5	3370.5	1	
High	Q96I25	Splicing factor 45 OS=Homo sapiens OX=9606 GN=RBM17 PE=1 SV=1	0	95.686	54	20	63	19	401	44.9	5.97	186.9	20	metabolic process;regulation of biological process;response to stimulus	nucleus;spliceosomal complex	protein binding;RNA binding	"Pf00076, Pf01585, Pf13893, Pf14259"	84991	ENSG00000134453.15	10	mRNA Processing	RBM17	Spliceosome	mRNA Splicing - Major Pathway	6	1	NA	4063.3	6254.1	6102.6	6520.1	3673.4	3559.7	1	
High	F8VZX2	Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1	0	94.373	65	14	84	8	321	33.8	8.24	252.34	14	defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;membrane;nucleus	DNA binding;protein binding;RNA binding	"Pf00013, Pf13014"	5094	ENSG00000197111.15	12	mRNA Processing	PCBP2			1	1	NA	3367.3	4435.1	4604.5	5290	4824.5	3287.1	1	
High	O14979	Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3	0	93.264	38	14	95	12	420	46.4	9.57	292.55	14	metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus;spliceosomal complex	DNA binding;protein binding;RNA binding	"Pf00076, Pf08777, Pf13893, Pf14259"	9987	ENSG00000152795.17	4		HNRNPDL; HNRPDL		Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation; Interleukin-12 family signaling	5	0	NA	7978.7	8331.4	7394.3	7887.4	3484.4	2870.5	1	
High	Q8N684	Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=1	0	92.965	40	15	49	15	471	52	8	153.99	15	cell organization and biogenesis;metabolic process	membrane;nucleus	protein binding;RNA binding	"Pf00076, Pf14259"	79869	ENSG00000149532.15	11		CPSF7	mRNA surveillance pathway	Cleavage of Growing Transcript in the Termination Region ; Processing of Intronless Pre-mRNAs; mRNA 3'-end processing; mRNA Splicing - Major Pathway	12	0	NA	4560.8	6380.1	6359.1	6176.2	3256.8	2831.2	1	
High	Q15020	Squamous cell carcinoma antigen recognized by T-cells 3 OS=Homo sapiens OX=9606 GN=SART3 PE=1 SV=1	0	91.055	26	22	40	22	963	109.9	5.57	137.5	22	cell organization and biogenesis;cell proliferation;metabolic process;regulation of biological process	cytoplasm;nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	9733	ENSG00000075856.11	12		SART3			0	0	NA	896.3	2516.9	2575.9	2147	2455.6	1079.2	1	
High	Q6UN15	Pre-mRNA 3'-end-processing factor FIP1 OS=Homo sapiens OX=9606 GN=FIP1L1 PE=1 SV=1	0	90.542	29	14	44	14	594	66.5	5.59	141.2	14	metabolic process;transport	nucleus	protein binding;RNA binding	Pf05182	81608	ENSG00000145216.15	4		FIP1L1	mRNA surveillance pathway	mRNA 3'-end processing; Transport of Mature mRNA Derived from an Intronless Transcript; mRNA Splicing - Major Pathway; Cleavage of Growing Transcript in the Termination Region ; Processing of Intronless Pre-mRNAs	15	0	NA	3318.6	3612.9	3606.9	4061.3	1979.5	2480	1	
High	Q8IX01	SURP and G-patch domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SUGP2 PE=1 SV=2	0	90.505	31	22	37	22	1082	120.1	7.28	114.5	22	metabolic process	nucleus	RNA binding	"Pf01585, Pf01805, Pf12656"	10147	ENSG00000064607.16	19	mRNA Processing	SUGP2			1	0	NA	1870	2291.7	2252.9	2303.2	1384	1611.2	1	
High	Q14240	Eukaryotic initiation factor 4A-II OS=Homo sapiens OX=9606 GN=EIF4A2 PE=1 SV=2	0	89.767	44	15	49	6	407	46.4	5.48	148.87	15	metabolic process;regulation of biological process	cytosol	catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271, Pf04851"	1974	ENSG00000156976.16	3	Translation Factors	EIF4A2	RNA transport	ISG15 antiviral mechanism; L13a-mediated translational silencing of Ceruloplasmin expression; Translation initiation complex formation; GTP hydrolysis and joining of the 60S ribosomal subunit; Deadenylation of mRNA; Ribosomal scanning and start codon recognition	19	0	NA	509.7	293.7	287.4	332.2	963.5	796.5	1	
High	Q96GM8	Target of EGR1 protein 1 OS=Homo sapiens OX=9606 GN=TOE1 PE=1 SV=1	0	89.112	42	15	44	15	510	56.5	7.18	150.22	15	metabolic process	cytoplasm;nucleus	catalytic activity;metal ion binding;protein binding;RNA binding	"Pf00642, Pf04857"	114034	ENSG00000132773.11	1		TOE1			0	0	NA	1474.2	2689.2	2727.4	2482.5	1171.9	1087.1	1	Met-loss [N-Term]
High	Q8WXF1	Paraspeckle component 1 OS=Homo sapiens OX=9606 GN=PSPC1 PE=1 SV=1	0	88.004	36	18	68	17	523	58.7	6.67	209.56	18	defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus	DNA binding;protein binding;RNA binding	"Pf00076, Pf08075, Pf13893, Pf14259"	55269	ENSG00000121390.18	13		PSPC1			0	0	NA	4423.5	7267.9	7585.4	8877.8	5422.5	5330.3	1	
High	P51858	Hepatoma-derived growth factor OS=Homo sapiens OX=9606 GN=HDGF PE=1 SV=1	0	87.876	68	16	58	15	240	26.8	4.73	189.4	16	cell proliferation;metabolic process;regulation of biological process;response to stimulus	cytoplasm;extracellular;nucleus	DNA binding;nucleotide binding;protein binding;RNA binding	Pf00855	3068	ENSG00000143321.18	1		HDGF		XBP1(S) activates chaperone genes	4	0	NA	1877.9	4590.5	3945.7	3521.5	3389.2	5618.3	1	
High	Q14157	Ubiquitin-associated protein 2-like OS=Homo sapiens OX=9606 GN=UBAP2L PE=1 SV=2	0	87.679	22	16	36	16	1087	114.5	7.11	127.52	16	regulation of biological process	cytoplasm	protein binding;RNA binding	"Pf00627, Pf12478, Pf14555"	9898	ENSG00000143569.18	1		UBAP2L			0	0	NA	2738	1556.1	1452.9	1584.5	3456.6	2828.4	1	
High	Q96I24	Far upstream element-binding protein 3 OS=Homo sapiens OX=9606 GN=FUBP3 PE=1 SV=2	0	87.343	44	21	53	17	572	61.6	8.38	155.03	21	metabolic process;regulation of biological process	cytoplasm;membrane;nucleus	DNA binding;protein binding;RNA binding	"Pf00013, Pf07650, Pf13014"	8939	ENSG00000107164.15	9		FUBP3			0	0	NA	2362	2488.5	2438.1	2550.2	2386	2545	1	
High	Q96EP5	DAZ-associated protein 1 OS=Homo sapiens OX=9606 GN=DAZAP1 PE=1 SV=1	0	86.613	32	10	42	10	407	43.4	8.56	156.7	10	cell differentiation;cell proliferation;development;regulation of biological process	cytoplasm;cytosol;nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	26528	ENSG00000071626.16	19		DAZAP1	mRNA surveillance pathway		1	0	NA	1730.6	3392.6	3722.2	3386.4	2091.4	1876	1	
High	E7ENY0	Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1	0	85.948	34	18	31	17	663	73.4	6.55	101.29	18		cytoskeleton		Pf00596		ENSG00000087274.16	4					0	0	NA	901.2	1147.2	1367.4	1790.2	1850.3	4880.2	1	
High	Q9BWF3	RNA-binding protein 4 OS=Homo sapiens OX=9606 GN=RBM4 PE=1 SV=1	0	85.924	60	17	51	5	364	40.3	7.08	182.28	17	cell differentiation;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus	metal ion binding;protein binding;RNA binding	"Pf00076, Pf00098, Pf13893, Pf14259"	5936	ENSG00000173933.19	11		RBM4		"BMAL1:CLOCK,NPAS2 activates circadian gene expression"	2	13	NA	3433.4	4297.8	4385.9	4089.9	1960.3	1293.6	1	
High	P35637	RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1	0	85.905	31	15	56	13	526	53.4	9.36	131.31	15	metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus	DNA binding;metal ion binding;protein binding;RNA binding	"Pf00076, Pf00641, Pf13893, Pf14259"	2521	ENSG00000089280.18	16	mRNA Processing	FUS	Transcriptional misregulation in cancer	mRNA Splicing - Major Pathway	6	2	NA	6385.8	8061.9	6605.2	6572.9	4344.2	3066.2	1	
High	O15523	ATP-dependent RNA helicase DDX3Y OS=Homo sapiens OX=9606 GN=DDX3Y PE=1 SV=2	0	85.668	32	18	50	1	660	73.1	7.55	149.64	18	metabolic process;regulation of biological process	cytoplasm;cytosol;membrane;nucleus	catalytic activity;DNA binding;nucleotide binding;RNA binding	"Pf00270, Pf00271, Pf04851"	8653	ENSG00000067048.16	Y	RIG-I-like Receptor Signaling	DDX3Y			1	0	NA	NA	NA	NA	NA	NA	NA	1	
High	Q9P2N5	RNA-binding protein 27 OS=Homo sapiens OX=9606 GN=RBM27 PE=1 SV=2	0	85.639	21	21	47	20	1060	118.6	9.19	145.27	21	metabolic process	cytoplasm;nucleus	metal ion binding;RNA binding	"Pf00076, Pf00642, Pf03962, Pf13893, Pf14259"	54439	ENSG00000091009.7	5		RBM27			0	0	NA	2050.2	2957.9	3197.4	3174.6	1942.2	1884.9	1	
High	P61247	40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2	0	85.255	55	17	74	17	264	29.9	9.73	220.84	17	cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;transport	cytoplasm;cytosol;endoplasmic reticulum;nucleus;ribosome	protein binding;RNA binding;structural molecule activity	Pf01015	6189	ENSG00000145425.9	4	Cytoplasmic Ribosomal Proteins	RPS3A	Ribosome	"Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; Formation of the ternary complex, and subsequently, the 43S complex; L13a-mediated translational silencing of Ceruloplasmin expression; Selenocysteine synthesis; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Ribosomal scanning and start codon recognition; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Translation initiation complex formation; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane"	38	0	NA	13896.2	7136.3	6902.2	6041.8	11523.7	11471	1	
High	B5MCF9	Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1	0	84.848	39	20	53	20	571	66	7.5	163.17	20	metabolic process	chromosome;cytosol;nucleus		"Pf00533, Pf06732"		ENSG00000100029.17	22					0	0	NA	5741.8	4807.6	4991.1	4917.1	2386.8	1903.2	1	
High	O60508	Pre-mRNA-processing factor 17 OS=Homo sapiens OX=9606 GN=CDC40 PE=1 SV=1	0	84.45	41	21	48	21	579	65.5	7.06	129.39	21	cell organization and biogenesis;metabolic process;transport	cytoplasm;nucleus;spliceosomal complex	protein binding;RNA binding	Pf00400	51362	ENSG00000168438.14	6	mRNA Processing	CDC40	Spliceosome	Cleavage of Growing Transcript in the Termination Region ; Transport of Mature mRNA derived from an Intron-Containing Transcript; mRNA 3'-end processing; mRNA Splicing - Major Pathway	13	0	NA	2438.4	2725.3	2717.5	3021	2467.9	2409.6	1	
High	Q9BXS6	Nucleolar and spindle-associated protein 1 OS=Homo sapiens OX=9606 GN=NUSAP1 PE=1 SV=1	0	84.006	42	15	31	15	441	49.4	9.91	107.71	15	cell division;cell organization and biogenesis;metabolic process;regulation of biological process	chromosome;cytoplasm;cytoskeleton;nucleus	DNA binding;protein binding;RNA binding		51203	ENSG00000137804.12	15		NUSAP1			0	0	NA	982.8	1055.5	1176.9	1609.9	1518	5383.5	1	
High	Q02790	Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens OX=9606 GN=FKBP4 PE=1 SV=3	0	83.854	44	18	40	18	459	51.8	5.43	128.22	18	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;mitochondrion;nucleus	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00254, Pf00515, Pf07719, Pf13174, Pf13371, Pf13414, Pf13424, Pf13432, Pf14559"	2288	ENSG00000004478.7	12	Androgen receptor signaling pathway	FKBP4	Estrogen signaling pathway	Attenuation phase; HSP90 chaperone cycle for steroid hormone receptors (SHR)	8	0	NA	1088.8	3258	3246	2671.9	2167.5	1380.8	1	Met-loss [N-Term]
High	O15226	NF-kappa-B-repressing factor OS=Homo sapiens OX=9606 GN=NKRF PE=1 SV=2	0	83.665	35	23	41	23	690	77.6	8.79	120.75	23	metabolic process;regulation of biological process	nucleus	DNA binding;protein binding;RNA binding	"Pf00035, Pf01424, Pf01585, Pf12656"	55922	ENSG00000186416.13	X		NKRF			0	0	NA	2046.9	2224.2	2117.1	2193.4	1089.8	817.7	1	
High	P35269	General transcription factor IIF subunit 1 OS=Homo sapiens OX=9606 GN=GTF2F1 PE=1 SV=2	0	83.481	48	19	34	19	517	58.2	7.49	118.07	19	metabolic process;regulation of biological process;response to stimulus	nucleus	catalytic activity;DNA binding;enzyme regulator activity;protein binding;RNA binding	Pf05793	2962	ENSG00000125651.13	19		GTF2F1	Basal transcription factors	Signaling by FGFR2 IIIa TM; RNA polymerase II transcribes snRNA genes; Abortive elongation of HIV-1 transcript in the absence of Tat; Tat-mediated HIV elongation arrest and recovery; Formation of HIV-1 elongation complex containing HIV-1 Tat; Formation of the HIV-1 Early Elongation Complex; mRNA Splicing - Major Pathway; FGFR2 alternative splicing; mRNA Splicing - Minor Pathway; TP53 Regulates Transcription of DNA Repair Genes; HIV Transcription Initiation; RNA Pol II CTD phosphorylation and interaction with CE during HIV infection; Formation of RNA Pol II elongation complex ; RNA Polymerase II Pre-transcription Events; RNA Polymerase II HIV Promoter Escape; Formation of HIV elongation complex in the absence of HIV Tat; RNA Polymerase II Transcription Pre-Initiation And Promoter Opening; Pausing and recovery of HIV elongation; RNA Polymerase II Promoter Escape; HIV elongation arrest and recovery; RNA Pol II CTD phosphorylation and interaction with CE; Viral Messenger RNA Synthesis; RNA Polymerase II Transcription Initiation; mRNA Capping; Pausing and recovery of Tat-mediated HIV elongation; Formation of the Early Elongation Complex	55	0	NA	721	1060.2	1062.2	1065.7	1064.8	1383.8	1	
High	Q15061	WD repeat-containing protein 43 OS=Homo sapiens OX=9606 GN=WDR43 PE=1 SV=3	0	82.598	31	20	46	20	677	74.8	5.57	143.2	20	metabolic process;regulation of biological process	nucleus	protein binding;RNA binding	"Pf00400, Pf04003"	23160	ENSG00000163811.11	2		WDR43	Ribosome biogenesis in eukaryotes	Major pathway of rRNA processing in the nucleolus and cytosol; rRNA modification in the nucleus and cytosol	6	0	NA	4883.9	5038.5	4641.7	4060.6	1966.1	1869	1	
High	H0YA96	Heterogeneous nuclear ribonucleoprotein D0 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1	0	82.258	59	15	100	1	210	23.9	9.58	296.68	15			RNA binding	"Pf00076, Pf13893, Pf14259"		ENSG00000138668.18	4					0	0	NA	225	413.4	385.5	392.9	218	83.4	1	
High	O95218	Zinc finger Ran-binding domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ZRANB2 PE=1 SV=2	0	81.242	40	15	37	15	330	37.4	10.01	129.02	15	metabolic process;regulation of biological process	nucleus	metal ion binding;protein binding;RNA binding	Pf00641	9406	ENSG00000132485.13	1		ZRANB2			0	0	NA	1406.3	3022.8	2246.1	1702.9	1645.4	1193.4	1	
High	Q9BVP2	Guanine nucleotide-binding protein-like 3 OS=Homo sapiens OX=9606 GN=GNL3 PE=1 SV=2	0	81.239	40	21	49	21	549	62	9.16	155.76	21	cell division;cell proliferation;regulation of biological process	membrane;nucleus	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf01926, Pf02421, Pf08701"	26354	ENSG00000163938.16	3		GNL3	Ribosome biogenesis in eukaryotes	Major pathway of rRNA processing in the nucleolus and cytosol	5	0	NA	3959.8	4054.2	3957.4	3778.7	1756	1425.7	1	
High	G3XAC6	RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39 PE=1 SV=1	0	81.047	50	16	64	1	423	48	10.56	180.37	16	metabolic process;regulation of biological process	cytoskeleton;nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259, Pf15519"	9584	ENSG00000131051.22	20	mRNA Processing	RBM39			1	0	NA	NA	NA	NA	NA	NA	NA	1	
High	Q9UBB9	Tuftelin-interacting protein 11 OS=Homo sapiens OX=9606 GN=TFIP11 PE=1 SV=1	0	80.92	31	24	43	24	837	96.8	5.67	116.49	24	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus;spliceosomal complex	DNA binding;protein binding	"Pf01585, Pf07842, Pf12457, Pf12656"	24144	ENSG00000100109.16	22		TFIP11		mRNA Splicing - Major Pathway	4	0	NA	2052.7	2517.3	2445.7	2596.3	2073.5	1901.2	1	
High	P61981	14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2	0	79.545	64	15	64	9	247	28.3	4.89	180.72	15	cell organization and biogenesis;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;membrane;mitochondrion	enzyme regulator activity;protein binding;RNA binding	Pf00244	7532	ENSG00000170027.6	7	Cell Cycle; Prolactin Signaling Pathway; Myometrial Relaxation and Contraction Pathways; Calcium Regulation in the Cardiac Cell; Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways	YWHAG	Hippo signaling pathway; PI3K-Akt signaling pathway; Viral carcinogenesis; Oocyte meiosis; Epstein-Barr virus infection; Cell cycle	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex; Regulation of PLK1 Activity at G2/M Transition; AURKA Activation by TPX2; Anchoring of the basal body to the plasma membrane; Recruitment of NuMA to mitotic centrosomes; Activation of BAD and translocation to mitochondria ; Recruitment of mitotic centrosome proteins and complexes; Loss of Nlp from mitotic centrosomes; Translocation of GLUT4 to the plasma membrane; TP53 Regulates Metabolic Genes; RHO GTPases activate PKNs	48	2	NA	809.3	1392.9	1472.1	1478.3	2174.2	1135.9	1	
High	Q9UBU9	Nuclear RNA export factor 1 OS=Homo sapiens OX=9606 GN=NXF1 PE=1 SV=1	0	79.449	33	18	47	18	619	70.1	8.51	144.93	18	transport	cytoplasm;cytosol;nucleus	protein binding;RNA binding;transporter activity	"Pf02136, Pf03943, Pf09162, Pf12799"	10482	ENSG00000162231.13	11	mRNA Processing	NXF1	Ribosome biogenesis in eukaryotes; Herpes simplex infection; mRNA surveillance pathway; Influenza A; RNA transport	Transport of the SLBP independent Mature mRNA; Transport of Mature mRNA derived from an Intron-Containing Transcript; Transport of Mature mRNA Derived from an Intronless Transcript; Transport of the SLBP Dependant Mature mRNA	14	0	NA	3287	2297.8	2499.5	2678	1815.6	1878	1	
High	Q9BXJ9	"N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA15 PE=1 SV=1"	0	79.096	27	24	33	24	866	101.2	7.42	94.64	24	cell differentiation;development;metabolic process;regulation of biological process	cytoplasm;cytosol;membrane;nucleus	catalytic activity;protein binding;RNA binding	"Pf12569, Pf13414"	80155	ENSG00000164134.12	4		NAA15			0	0	NA	1651.7	1267.8	1396.9	1533.5	2925.9	2078.8	1	
High	Q9BQ67	Glutamate-rich WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=GRWD1 PE=1 SV=1	0	79.088	41	12	32	12	446	49.4	4.92	120.74	12	cell organization and biogenesis;metabolic process	chromosome;cytosol;nucleus	DNA binding;protein binding;RNA binding	"Pf00400, Pf12265"	83743	ENSG00000105447.12	19		GRWD1			0	0	NA	1654.7	1667.5	1679.8	1746.4	1047.7	1099.6	1	
High	P15880	40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2	0	79.079	54	15	60	15	293	31.3	10.24	169.94	15	cell organization and biogenesis;metabolic process;regulation of biological process;transport	cytosol;membrane;nucleus;ribosome	protein binding;RNA binding;structural molecule activity	"Pf00333, Pf03719"	6187	ENSG00000140988.15	16	Cytoplasmic Ribosomal Proteins	RPS2	Ribosome	"Peptide chain elongation; Protein methylation; Eukaryotic Translation Termination; Viral mRNA Translation; RMTs methylate histone arginines; Formation of the ternary complex, and subsequently, the 43S complex; L13a-mediated translational silencing of Ceruloplasmin expression; Selenocysteine synthesis; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Ribosomal scanning and start codon recognition; rRNA modification in the nucleus and cytosol; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Translation initiation complex formation; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane"	44	0	NA	7302.2	3499	3657.1	3328.2	8063.2	6974.3	1	
High	Q9H0S4	Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens OX=9606 GN=DDX47 PE=1 SV=1	0	78.607	51	16	37	16	455	50.6	9.1	115.52	16	cell death;metabolic process;regulation of biological process;response to stimulus	cytoplasm;membrane;nucleus	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271"	51202	ENSG00000213782.7	12		DDX47		Major pathway of rRNA processing in the nucleolus and cytosol; rRNA modification in the nucleus and cytosol	5	0	NA	2142.8	2384.7	2332.7	2466.3	1369.3	1194	1	Met-loss+Acetyl [N-Term]
High	Q13310	Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1	0	78.424	29	15	42	1	644	70.7	9.26	141.99	15	coagulation;metabolic process	cytoplasm;cytosol;nucleus	protein binding;RNA binding	"Pf00076, Pf00658, Pf13893, Pf14259"	8761	ENSG00000090621.13	1		PABPC4	mRNA surveillance pathway; RNA transport; RNA degradation		3	8	NA	1633.7	949	968.3	1041.9	1604.5	1589.4	1	
High	A0A087X260	TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1	0	75.832	55	12	46	12	301	34.2	6.44	133.23	12			RNA binding	"Pf00076, Pf13893, Pf14259"		ENSG00000120948.16	1					0	0	NA	2974.6	3392.7	3523.1	3517.7	2885.3	2377.6	1	
High	O95104	SR-related and CTD-associated factor 4 OS=Homo sapiens OX=9606 GN=SCAF4 PE=1 SV=3	0	75.562	20	17	54	14	1147	125.8	9.55	158.89	17		nucleus	RNA binding	"Pf00076, Pf04818, Pf13893, Pf14259"	57466	ENSG00000156304.14	21		SCAF4			0	3	NA	3368.3	3878.6	3997.6	4209.1	2061.1	1987.8	1	
High	H0YH80	Heterogeneous nuclear ribonucleoprotein A1 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=1	0	75.079	82	11	108	1	191	19.5	9.8	319.04	11			RNA binding	Pf00076		ENSG00000135486.17	12					0	0	NA	50.5	71.1	69.5	57.4	32.9	27.5	1	
High	Q9UKM9	RNA-binding protein Raly OS=Homo sapiens OX=9606 GN=RALY PE=1 SV=1	0	74.86	78	18	60	17	306	32.4	9.17	183.8	18	metabolic process;regulation of biological process	nucleus;spliceosomal complex	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	22913	ENSG00000125970.11	20		RALY			0	1	NA	7525.7	5695.8	5729.6	6828	4118.1	4732.5	1	
High	Q92804	TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1	0	74.354	36	11	43	9	592	61.8	8.02	145.76	11	regulation of biological process	cytoplasm;nucleus	DNA binding;metal ion binding;protein binding;RNA binding	"Pf00076, Pf00641, Pf13893, Pf14259"	8148	ENSG00000270647.5; ENSG00000276833.2	17; CHR_HSCHR17_7_CTG4		TAF15	Basal transcription factors; Transcriptional misregulation in cancer		2	0	NA	8942.6	1875.3	1459.1	1872.8	1392.4	3452.7	1	
High	P27797	Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1	0	74.233	52	17	67	17	417	48.1	4.44	196.76	17	cell differentiation;cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport	cell surface;cytoplasm;cytosol;endoplasmic reticulum;extracellular;Golgi;membrane;nucleus;organelle lumen	DNA binding;metal ion binding;protein binding;RNA binding	Pf00262	811	ENSG00000179218.13	19	Androgen receptor signaling pathway; Photodynamic therapy-induced unfolded protein response; Calcium Regulation in the Cardiac Cell	CALR	Phagosome; Chagas disease (American trypanosomiasis); HTLV-I infection; Antigen processing and presentation; Protein processing in endoplasmic reticulum	"Scavenging by Class F Receptors; Assembly of Viral Components at the Budding Site; ATF6 (ATF6-alpha) activates chaperone genes; Antigen Presentation: Folding, assembly and peptide loading of class I MHC; ER-Phagosome pathway; Calnexin/calreticulin cycle; Scavenging by Class A Receptors"	32	0	NA	3394.1	5944.6	6295.8	5492.3	7156.5	6602.6	1	
High	A0A087X0M4	Kanadaptin OS=Homo sapiens OX=9606 GN=SLC4A1AP PE=1 SV=1	0	73.031	35	16	27	16	742	82.8	5.1	92.85	16		membrane	protein binding	"Pf00035, Pf00498"		ENSG00000163798.13	2					0	0	NA	242.7	1184.2	1116	988.5	577.9	315.9	1	
High	Q9BQ04	RNA-binding protein 4B OS=Homo sapiens OX=9606 GN=RBM4B PE=1 SV=1	0	72.135	45	15	41	3	359	40.1	6.74	127.99	15	metabolic process;regulation of biological process;response to stimulus	cytosol;nucleus	metal ion binding;protein binding;RNA binding	"Pf00076, Pf00098, Pf13893, Pf14259"	83759	ENSG00000173914.11	11		RBM4B			0	0	NA	187.2	159.4	155.7	142.7	82.3	58.3	1	
High	Q8NC51	Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens OX=9606 GN=SERBP1 PE=1 SV=2	0	72.07	37	12	28	12	408	44.9	8.65	97.19	12	regulation of biological process	cytoplasm;cytosol;membrane;nucleus	protein binding;RNA binding	Pf04774	26135	ENSG00000142864.14	1	Apoptosis-related network due to altered Notch3 in ovarian cancer	SERBP1			1	0	NA	3089.7	2126.6	1826.9	1592.9	3246.7	3780.8	1	
High	Q5BKZ1	DBIRD complex subunit ZNF326 OS=Homo sapiens OX=9606 GN=ZNF326 PE=1 SV=2	0	71.743	32	17	46	17	582	65.6	5.15	143.5	17	metabolic process;regulation of biological process	nucleus;spliceosomal complex	DNA binding;metal ion binding;protein binding;RNA binding	Pf04988	284695	ENSG00000162664.16	1		ZNF326			0	0	NA	2618.7	2509.3	2553	2926.5	1855.1	2176.3	1	
